Wta	Wtb	Heta	Hetb	Homa	Homb	Crxa	Crxb
0610007P08Rik	135	144	136	143	186	144	125	134
0610007P22Rik	90	98	106	98	129	109	133	122
0610009D07Rik	92	104	125	113	167	112	108	110
0610010F05Rik	1	1	0	0	1	0	0	1
0610010K06Rik	0	0	0	0	0	0	0	0
0610010K14Rik	95	73	109	97	103	98	107	85
0610011F06Rik	55	40	58	46	48	32	40	72
0610030E20Rik	199	208	185	189	220	179	159	163
0610037D15Rik	0	0	1	0	0	0	0	0
0610037L13Rik	143	112	150	190	245	155	149	164
100039707	0	0	0	0	0	0	0	0
100042579	0	0	0	0	0	0	0	0
1100001G20Rik	0	0	0	1	0	0	0	0
1110001A07Rik	0	0	0	0	0	0	0	0
1110001J03Rik	37	26	33	30	30	26	20	26
1110002L01Rik	907	955	845	1111	972	756	946	972
1110002N22Rik	22	20	31	25	34	24	32	46
1110004E09Rik	115	115	99	153	139	85	102	98
1110004F10Rik	303	286	251	309	407	220	331	330
1110005A03Rik	2079	1977	1933	2203	2377	1618	2100	2119
1110005A23Rik	0	1	0	1	0	0	0	2
1110006O24Rik	1	1	2	1	1	2	2	5
1110007A13Rik	0	0	0	0	0	0	0	0
1110007C09Rik	79	89	15	16	13	15	50	40
1110012D08Rik	64	94	54	74	70	38	52	61
1110014N23Rik	219	214	206	218	250	201	193	225
1110017D15Rik	0	0	0	0	0	0	0	0
1110017F19Rik	9	12	8	7	12	8	8	15
1110018H23Rik	0	0	0	0	0	0	0	0
1110018J18Rik	32	29	36	36	52	33	29	31
1110020A21Rik	27	16	16	17	20	10	11	5
1110020G09Rik	631	554	311	298	266	219	166	174
1110021J02Rik	1483	1410	1828	1784	2683	2090	1333	1421
1110028C15Rik	297	316	360	378	322	198	330	355
1110031I02Rik	53	38	46	62	61	31	34	38
1110034B05Rik	84	79	95	83	127	85	71	76
1110038B12Rik	14	21	16	13	20	9	19	22
1110038D17Rik	456	383	242	225	195	179	264	244
1110038F14Rik	127	89	80	77	75	62	64	76
1110054O05Rik	112	98	86	95	86	59	101	94
1110057K04Rik	123	114	121	120	142	100	100	109
1110058L19Rik	57	63	29	53	55	50	36	43
1110059G10Rik	6	3	1	4	7	1	3	6
1110059M19Rik	0	0	0	0	0	0	0	0
1110067D22Rik	1255	1149	1128	1434	1462	987	1104	1228
1190002N15Rik	164	196	236	196	268	174	179	200
1190003K10Rik	0	0	0	0	0	0	0	0
1190005F20Rik	1	5	4	0	1	4	2	3
1190007F08Rik	505	463	467	585	519	413	481	511
1190007I07Rik	23	10	14	19	16	12	19	22
1200002N14Rik	0	0	0	0	0	0	0	0
1200011M11Rik	25	22	22	23	24	25	23	25
1200014J11Rik	370	349	449	499	601	377	363	412
1200016B10Rik	101	85	93	99	94	60	70	80
1300001I01Rik	319	321	297	361	375	354	267	287
1300002K09Rik	0	1	0	1	0	0	0	3
1300014I06Rik	2	7	2	6	3	3	2	3
1300018J18Rik	382	332	288	365	364	315	340	358
1500001M20Rik	53	37	38	50	54	40	27	54
1500002O20Rik	199	164	231	240	289	264	146	144
1500009C09Rik	152	138	162	162	207	137	155	153
1500009L16Rik	14	10	20	14	14	7	18	14
1500010J02Rik	0	0	0	0	0	0	0	0
1500011B03Rik	31	22	24	30	42	19	21	24
1500015O10Rik	7	6	6	7	4	6	6	8
1500017E21Rik	251	210	316	324	412	251	338	401
1500032L24Rik	243	203	203	248	237	179	199	224
1520402A15Rik	62	50	51	61	48	35	20	33
1600002H07Rik	71	59	68	110	81	78	87	89
1600002K03Rik	68	42	74	88	101	68	53	55
1600012H06Rik	299	245	233	281	295	216	275	293
1600012P17Rik	0	0	0	0	0	0	0	1
1600014C23Rik	9	14	3	3	0	0	3	0
1600015I10Rik	0	0	0	0	0	0	0	0
1700001G17Rik	2	2	2	1	1	1	3	1
1700001K23Rik	4	12	4	6	5	4	4	10
1700001L05Rik	11	19	11	16	40	20	12	8
1700001L19Rik	5	2	7	8	7	7	6	9
1700003E16Rik	60	54	76	77	60	41	17	25
1700003G18Rik	1	1	1	0	0	0	1	3
1700006E09Rik	0	0	0	0	0	0	0	0
1700007E06Rik	0	0	0	0	0	0	0	0
1700007G11Rik	1	0	2	1	0	0	2	2
1700007K09Rik	0	2	1	0	0	2	2	0
1700008A04Rik	1	0	0	0	0	0	0	0
1700008J07Rik	32	29	22	40	30	20	13	29
1700008P20Rik	0	6	0	3	3	1	5	18
1700009J07Rik	0	0	4	3	0	0	2	0
1700009P17Rik	2	1	12	7	6	7	0	4
1700010H22Rik	0	0	0	0	0	0	0	0
1700010I14Rik	1	2	4	7	5	3	2	1
1700011E24Rik	0	1	1	0	0	1	0	0
1700011F03Rik	0	1	0	0	0	1	0	0
1700011F14Rik	0	0	0	0	1	0	1	1
1700012A03Rik	0	0	0	0	0	0	0	0
1700012A16Rik	9	3	4	4	6	5	2	9
1700012B07Rik	0	0	0	0	0	0	0	0
1700012B15Rik	500	511	555	666	698	444	563	563
1700012L04Rik	0	0	0	0	1	0	0	1
1700013B16Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0
1700013F07Rik	1	2	1	4	3	2	0	1
1700013H16Rik	0	0	0	0	0	0	0	0
1700015E13Rik	7	7	6	9	13	9	11	12
1700015F17Rik	0	0	0	0	1	0	0	0
1700016C15Rik	1	2	4	2	4	3	2	4
1700016H13Rik	0	0	0	0	0	0	0	0
1700016K19Rik	1	3	0	0	0	0	0	0
1700016M24Rik	1	1	0	0	0	0	1	0
1700017N19Rik	0	1	0	0	2	0	1	1
1700018A04Rik	0	0	0	0	0	0	0	0
1700018C11Rik	6	1	4	5	3	2	0	9
1700019A02Rik	0	1	1	0	2	1	0	0
1700019D03Rik	6	13	12	11	11	3	13	7
1700019G17Rik	79	52	66	109	85	78	66	57
1700019N12Rik	5	12	11	13	10	4	11	9
1700019N19Rik	0	0	0	0	0	0	0	0
1700019O17Rik	1	1	0	0	0	0	0	0
1700020D05Rik	33	31	13	33	28	31	18	28
1700020L24Rik	4	7	10	15	6	6	16	9
1700020N18Rik	2	0	2	0	0	1	0	1
1700022A21Rik	0	0	0	0	0	1	0	0
1700022I11Rik	14	11	7	10	19	15	13	19
1700022P22Rik	18	21	27	14	27	23	20	14
1700023A16Rik	0	0	0	0	0	0	0	0
1700023F06Rik	1	0	1	3	2	2	2	3
1700023I07Rik	0	0	0	0	0	0	0	0
1700024P04Rik	1	0	1	0	0	0	0	0
1700025E21Rik	3	1	1	0	2	2	0	1
1700025G04Rik	229	267	277	302	533	403	297	370
1700026J04Rik	5	4	7	3	0	4	3	2
1700027A23Rik	5	2	0	0	0	0	0	0
1700027D21Rik	5	7	4	4	5	7	1	5
1700028K03Rik	16	13	8	18	10	3	5	3
1700029F09Rik	37	32	15	25	26	20	10	21
1700029F12Rik	0	0	0	0	0	0	0	0
1700029P11Rik	3	6	2	2	1	0	2	2
1700031F10Rik	0	0	0	0	0	1	0	0
1700031M16Rik	0	0	0	0	0	0	0	0
1700034F02Rik	2	1	1	3	6	3	2	3
1700034H14Rik	66	76	63	62	85	79	62	66
1700034H15Rik	39	31	40	54	27	19	17	23
1700034J05Rik	0	0	0	1	0	0	0	0
1700034O15Rik	0	0	0	0	0	0	0	0
1700039E15Rik	1	0	0	1	0	0	1	1
1700040F15Rik	0	0	0	0	0	0	0	0
1700040I03Rik	65	41	39	50	46	32	25	22
1700040L02Rik	2	0	2	2	2	3	0	0
1700041B01Rik	113	124	316	461	263	233	215	270
1700041C02Rik	1	0	0	1	0	0	2	0
1700042G07Rik	1	0	0	0	0	0	0	0
1700047M11Rik	0	0	0	0	0	0	0	0
1700048O20Rik	66	84	44	111	163	64	41	59
1700049E15Rik	0	0	0	0	0	0	0	0
1700049G17Rik	207	207	157	153	161	136	185	184
1700049L16Rik	0	0	0	0	0	0	0	0
1700052K11Rik	27	25	22	26	29	28	32	14
1700054K19Rik	0	0	0	0	0	0	0	0
1700054O13Rik	0	0	0	0	0	0	0	0
1700056E22Rik	1	2	3	1	3	1	3	2
1700057G04Rik	0	0	0	0	0	0	0	0
1700057K13Rik	0	2	0	1	0	0	1	1
1700058G18Rik	128	108	117	155	140	87	156	155
1700061J05Rik	0	0	0	0	0	0	0	0
1700065D16Rik	0	0	0	0	0	0	0	0
1700066M21Rik	64	46	44	44	82	36	44	62
1700069L16Rik	0	0	0	0	0	0	0	0
1700071K01Rik	1	0	1	1	0	1	0	0
1700073E17Rik	0	1	0	2	1	0	0	1
1700074P13Rik	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0
1700081L11Rik	571	559	512	604	676	533	456	541
1700084C01Rik	2	1	0	10	6	1	3	1
1700084J12Rik	2	1	1	6	6	2	3	4
1700088E04Rik	230	261	250	394	300	265	326	362
1700090G07Rik	0	0	0	0	0	0	0	0
1700093K21Rik	1	5	2	4	0	2	0	3
1700096J18Rik	21	29	9	21	11	10	10	10
1700106J16Rik	0	1	1	0	2	0	0	0
1700106N22Rik	30	31	68	52	76	48	44	49
1700109F18Rik	0	0	0	0	0	0	0	0
1700109H08Rik	66	71	53	54	47	37	39	68
1700113H08Rik	0	0	1	1	1	1	1	4
1700113I22Rik	10	5	12	11	10	6	6	8
1700120K04Rik	11	13	19	10	14	10	6	8
1700123I01Rik	0	0	1	0	0	0	0	0
1700123L14Rik	0	2	0	0	0	0	0	0
1700125H20Rik	0	0	0	0	0	1	1	2
1810008A18Rik	130	123	138	157	170	126	131	134
1810009J06Rik	0	0	0	0	0	0	0	0
1810010H24Rik	43	37	26	37	59	31	34	39
1810012P15Rik	343	287	201	287	320	185	244	258
1810014B01Rik	2805	2653	3200	3028	3011	2314	3725	3643
1810022C23Rik	9	4	5	4	4	3	2	7
1810027O10Rik	57	40	62	49	71	62	56	47
1810030J14Rik	0	0	0	0	0	0	0	0
1810030O07Rik	96	98	106	96	118	92	88	103
1810031K17Rik	176	178	231	288	286	251	185	247
1810032O08Rik	52	47	56	87	52	49	53	47
1810041L15Rik	445	481	2206	1872	791	942	1813	2239
1810043G02Rik	203	258	142	184	174	108	138	145
1810043H04Rik	13	15	9	15	13	5	11	24
1810049H13Rik	12	28	30	12	17	10	19	30
1810055G02Rik	78	64	60	67	71	54	39	60
1810058I24Rik	78	61	56	58	54	52	67	77
2010002M12Rik	2	0	1	0	0	1	0	0
2010003K11Rik	0	0	0	0	0	0	0	0
2010005H15Rik	0	0	0	0	0	0	0	0
2010012O05Rik	66	64	60	69	88	83	57	78
2010015L04Rik	67	84	41	57	28	22	28	27
2010016I18Rik	1	0	1	1	0	0	0	0
2010107G12Rik	7	4	5	5	14	15	6	10
2010107H07Rik	6	7	14	7	9	6	13	12
2010109I03Rik	0	0	0	0	1	0	0	1
