label	expression_WT	expression_std_WT	expression_reps_WT	expression_pvalue_WT	expression_qvalue_WT	library_WT	expression_log2_WT	group_name_WT	plot_color_WT	variant_WT	expression_MUT	expression_std_MUT	expression_reps_MUT	expression_pvalue_MUT	expression_qvalue_MUT	library_MUT	expression_log2_MUT	group_name_MUT	plot_color_MUT	variant_MUT	wt_vs_mut_log2	wt_vs_mut_pvalue	wt_vs_mut_qvalue	expression_POLY	expression_SEM_POLY	expression_log2_POLY	autonomous_activity	crx_bound	nrl_bound	mef2d_bound	binding_group
chr1-104768570-104768734_UPCQ	3.606620776671437	0.2974117612264309	3.0	0.001205961076097966	0.0035477692122416905	1	1.8510476943667071	Weak enhancer	#a6cee3	WT	3.027743876435533	0.3304822997629895	3.0	0.0001387399205755027	0.000749351458658923	1.0	1.5987195828148735	Weak enhancer	#a6cee3	MUT-allCrxSites	0.25232811155183366	0.09232826422093589	0.14745466373746535	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-106008207-106008371_CPPE	2.068611271247828	0.9446642457273976	3.0	0.08058340640186154	0.10324212008895214	1	1.0493598161748483	NaN	grey	WT	3.3366040986708576	0.39628434979136573	3.0	0.0030386647147386263	0.007388397209786836	1.0	1.7388128346411245	Weak enhancer	#a6cee3	MUT-allCrxSites	-0.6894530184662762	0.14537675867130626	0.2129370664524844	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-106696554-106696718_CPPE	8.261201283456401	1.3177193347647378	3.0	7.73325503602744e-06	0.00021739039156832687	1	3.046526207507891	Strong enhancer	#1f78b4	WT	2.498705959303456	0.12768737229734756	3.0	0.00025732949183585973	0.001136932782403472	1.0	1.3217584004858651	Weak enhancer	#a6cee3	MUT-allCrxSites	1.7247678070220258	0.0031042157675597033	0.013211434568225896	0.7956210503025015	0.05857412971628481	-0.31182671445941945	False	True	False	False	CRX only
chr1-118321635-118321799_CPPP	1.3681481640307285	0.3978347370749595	3.0	0.16686132579985402	0.19601720261972094	1	0.4532785780392359	Inactive	#33a02c	WT	0.8263954359133149	0.1595352683160594	3.0	0.09216662084291692	0.11613235816301486	1.0	-0.27335109550066494	Inactive	#33a02c	MUT-allCrxSites	0.7266296735399008	0.08096587720269041	0.13276644469007823	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-118589610-118589774_UPCE	0.1849932291249148	0.07774159548059757	3.0	0.019478466419349437	0.031967561651694336	1	-2.4266779922944206	Silencer	#e31a1c	WT	0.9579164913952524	0.26705595952239497	3.0	0.5877542737697821	0.6180999330587054	1.0	-0.06052291332045634	Inactive	#33a02c	MUT-allCrxSites	-2.3661550789739643	0.0057895236662553464	0.01978927775817594	0.30888838291664844	0.1388711613661718	-1.6488765536277572	False	False	False	False	No binding
chr1-119646428-119646592_CPPE	6.889830750459932	0.6578286934998172	3.0	7.195699827802962e-05	0.0004969788659805867	1	2.784677923034037	Weak enhancer	#a6cee3	WT	0.9378660731378684	0.3328433768602601	3.0	0.6014855621064573	0.6311593750372714	1.0	-0.0910087191169842	Inactive	#33a02c	MUT-allCrxSites	2.875686642151021	0.006113631220725565	0.0205392884504513	1.181991459704127	0.1968333617834276	0.25337389931799226	True	True	False	False	CRX only
chr1-119837093-119837257_UPPP	0.3274293959848075	0.35365410980766354	3.0	0.09720868118751667	0.12165637346222148	1	-1.606344833960669	NaN	grey	WT	0.1407921918336817	0.06754408861082771	3.0	0.009601740222238484	0.01839600049752905	1.0	-2.8181500059840054	Silencer	#e31a1c	MUT-allCrxSites	1.2118051720233365	0.39878591259484314	0.4838701054490305	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-119904943-119905107_CPPE	0.4962269116685907	0.16209311180635488	3.0	0.0736255227820835	0.09536995096024667	1	-1.0080237126560208	NaN	grey	WT	0.021185567408943087	0.016005102291243502	3.0	0.006431912362255643	0.013507296952976354	1.0	-5.494234738370016	Silencer	#e31a1c	MUT-allCrxSites	4.486211025713995	0.005305742796727656	0.018705961127007478	0.3064771337837278	0.05089944799859172	-1.659826829573577	False	True	False	False	CRX only
chr1-126766376-126766540_UPRE	0.17114093887957366	0.10071984937946088	3.0	0.02137788955350976	0.034519151858824794	1	-2.538337852274916	Silencer	#e31a1c	WT	0.2058657559706216	0.10553758029729224	3.0	0.016073733547753922	0.027654415592001824	1.0	-2.2732332499804944	Silencer	#e31a1c	MUT-allCrxSites	-0.26510460229442145	0.6338487889917858	0.698461850043181	0.0896490798434064	0.027214944538042282	-3.3269997064513195	False	False	False	False	No binding
chr1-128102684-128102848_CSPP	1.5726500941159565	0.6860454105587346	3.0	0.2742318475177877	0.3072086905192275	1	0.654114788874454	Inactive	#33a02c	WT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5334271753668663	0.19926551181412092	-0.8798413821307367	False	True	False	False	CRX only
