label	RNA1	RNA2	RNA3
BASAL	0.3316791133144304	0.3065120761260575	0.2773084566216708
chr1-104768570-104768734_UPCQ_MUT-allCrxSites	1.0051718101999194	0.826315165745866	0.9308722507760647
chr1-104768570-104768734_UPCQ_WT	1.1140877582417674	1.0802868531935783	1.0916188104648847
chr1-106008207-106008371_CPPE_MUT-allCrxSites	1.18030455880866	1.0949092808343266	0.798393662429356
chr1-106008207-106008371_CPPE_WT	0.4417992686886459	0.5333827297947639	0.8689895795120517
chr1-106171416-106171580_CSPE_scrambled	0.4966150539911502	0.25551572889678936	0.5512507573935466
chr1-106696554-106696718_CPPE_MUT-allCrxSites	0.7806154077106723	0.7949605970334473	0.7068652655744976
chr1-106696554-106696718_CPPE_WT	2.487485307446923	2.299195305444878	2.712845479069919
chr1-118321635-118321799_CPPP_MUT-allCrxSites	0.2135566616307458	0.27467472159142725	0.26044556773964656
chr1-118321635-118321799_CPPP_WT	0.30149539515329754	0.48587131910190545	0.44654569958554347
chr1-118589610-118589774_UPCE_MUT-allCrxSites	0.23092047165284657	0.29042290283843386	0.341096093009365
chr1-118589610-118589774_UPCE_WT	0.08981421125743672	0.03654198179899027	0.04574882343971761
chr1-119646428-119646592_CPPE_MUT-allCrxSites	0.3563348492295526	0.17118003594965517	0.32744161305106806
chr1-119646428-119646592_CPPE_WT	2.4059302892273484	1.8790578208534399	2.0202615658607868
chr1-119837093-119837257_UPPP_MUT-allCrxSites	0.04376761973266524	0.023938609737367056	0.05887779897906445
chr1-119837093-119837257_UPPP_WT	0.04481095156470701	0.22546071346091995	0.030952083650469003
chr1-119904943-119905107_CPPE_MUT-allCrxSites	0.003999508336724585	0.003626690605021894	0.010999774380988578
chr1-119904943-119905107_CPPE_WT	0.22241502693507417	0.14345321862754543	0.09708282507013184
chr1-126766376-126766540_UPRE_MUT-allCrxSites	0.034202411496451125	0.06145249728275979	0.08707170630352505
chr1-126766376-126766540_UPRE_WT	0.01827611751222705	0.07231202734743646	0.06167395446128923
chr1-128102684-128102848_CSPP_MUT-shape	0.4143758447997597	0.35903265348577734	0.6809704062561144
chr1-128102684-128102848_CSPP_WT	0.4616302030535908	0.7144809256292373	0.2759630921873936
chr1-128102684-128102848_CSPP_scrambled	0.3135549409326012	0.36604531581203886	0.25097741303881144
chr1-131078792-131078956_CPPE_MUT-allCrxSites	0.36818878467808425	0.7158337579831803	0.6991121538261598
chr1-131078792-131078956_CPPE_WT	2.180159189146642	1.7113280491289717	1.6050334921328642
chr1-131078792-131078956_CPPE_scrambled	1.569764096714452	1.084853701719373	1.1197025795467077
chr1-131910343-131910507_CSPP_MUT-shape	0.5522052284883733	0.5186649154267674	0.6826917144918245
chr1-131910343-131910507_CSPP_WT	0.6055831092941308	0.7788591655297227	0.7702287724881917
chr1-132064989-132065153_UPPN_MUT-allCrxSites	0.20379337529808217	0.3459186547172235	0.3411989166534779
chr1-132064989-132065153_UPPN_WT	0.14881551745965857	0.4066699683395936	0.29791196048034047
chr1-132303608-132303772_UPPE_MUT-allCrxSites	0.1483754049665267	0.08236300246963034	0.13002458337429068
chr1-132303608-132303772_UPPE_WT	0.05602921667442666	0.08665735691550897	0.0108491979675049
chr1-132367013-132367177_CPPP_MUT-allCrxSites	0.18055935125620703	0.28610780445230816	0.2214168326917274
chr1-132367013-132367177_CPPP_WT	2.4385123850418	2.0334853965845636	2.424110636074611
chr1-132414110-132414274_CPPE_MUT-allCrxSites	0.09537547472168112	0.08459402268209915	0.1502097186750024
chr1-132414110-132414274_CPPE_WT	0.0005443484603540784	0.0008538058963154363	0.0052681864562512575
chr1-133042650-133042814_CPRN_MUT-allCrxSites	0.4397511023586087	0.39980763221214866	0.39195166079285065
chr1-133042650-133042814_CPRN_WT	0.017516005524952066	0.021978963676862414	0.01124695515664384
chr1-133661350-133661514_CSPP_scrambled	0.1061622971275757	0.14040473406873577	0.19433058713599818
chr1-133893675-133893839_UPCE_MUT-allCrxSites	0.9592738667004814	0.9999277925724375	0.9713536252051979
chr1-133893675-133893839_UPCE_WT	1.4293959670643517	0.9627835259282733	0.6539685215383095
chr1-134086973-134087137_CPPE_MUT-allCrxSites	0.4963590605512042	0.41768077721291114	0.6097662136015256
chr1-134086973-134087137_CPPE_WT	1.5064380361016199	1.311332548467716	1.2147160976657225
chr1-134272950-134273114_CPPE_MUT-allCrxSites	0.053399293315850006	0.042859686571351835	0.028766998272223464
chr1-134272950-134273114_CPPE_WT	0.0	0.0	0.0
chr1-134420610-134420774_CPPE_MUT-allCrxSites	0.7425979285191123	0.6826691472813478	0.7303347720731029
chr1-134420610-134420774_CPPE_WT	0.573461731767474	0.6053381163738644	0.661481920033157
chr1-134491438-134491602_CPNE_MUT-allCrxSites	0.5692149410839059	0.5753773531560974	0.6417485662972094
chr1-134491438-134491602_CPNE_WT	0.780150923234212	0.5796703114242954	0.6298936329032051
chr1-134491438-134491602_CPNE_scrambled	0.3358803231555936	0.29999107237573125	0.22292061954320672
chr1-135375289-135375453_UPPP_MUT-allCrxSites	0.3896336037640282	0.30888947781306725	0.38224989448869734
chr1-135375289-135375453_UPPP_WT	0.40235979440703595	0.35546420825706576	0.19872876657199554
chr1-135627907-135628071_CPPN_MUT-allCrxSites	0.32887790991889504	0.374239800526236	0.43947999708089647
chr1-135627907-135628071_CPPN_WT	0.11883022818858431	0.09519735587144683	0.09466542916558207
chr1-135793436-135793600_CPPE_MUT-allCrxSites	1.8063335395892643	1.8537321908566309	1.706568900802498
chr1-135793436-135793600_CPPE_WT	5.015787636976024	5.46152281825452	4.792003243342336
chr1-136007979-136008143_CPPP_MUT-allCrxSites	0.2383196934103696	0.17450274741238225	0.1737848799672008
chr1-136007979-136008143_CPPP_WT	0.25472208802780255	0.12677228771010085	0.16658241921462588
chr1-136140231-136140395_CSPP_MUT-shape	2.525899859968497	2.313471299749387	2.1521758575332517
chr1-136140231-136140395_CSPP_WT	2.4985378204777158	2.7907788158019495	3.7040820474892953
chr1-137926402-137926566_CPPE_MUT-allCrxSites	0.41060292197041565	0.36585897982942256	0.24787662913672226
chr1-137926402-137926566_CPPE_WT	0.24255705189648294	0.3515578460824295	0.2693864992508617
chr1-150312783-150312947_CPPE_MUT-allCrxSites	0.4643478078731674	0.36209693107637114	0.36907786006127835
chr1-150312783-150312947_CPPE_WT	0.20528909844301194	0.3480426152049083	0.24399960478665425
chr1-150322339-150322503_CPPP_MUT-allCrxSites	0.02502825245477618	0.03425905175281398	0.04350124168412059
chr1-150322339-150322503_CPPP_WT	0.0008306951510240204	0.002967803740035273	0.0009211858665474059
chr1-150329669-150329833_CPPP_MUT-allCrxSites	0.07340607577337124	0.08227847404989581	0.03652814346534574
chr1-150329669-150329833_CPPP_WT	0.16236553159247452	0.09949465394802447	0.17325545615700552
chr1-150393010-150393174_CBPP_MUT-shape	1.4932403557765803	1.1619128871171456	1.0053286144880549
chr1-150393010-150393174_CBPP_WT	2.5113370813816793	1.2847465911771243	2.161265545908085
chr1-150393010-150393174_CBPP_scrambled	0.008316207932377608	0.035784458267598525	0.048865277364258615
chr1-151344227-151344391_UPPP_MUT-allCrxSites	1.5244374236089746	1.6783702616673422	1.573514232735956
chr1-151344227-151344391_UPPP_WT	1.0938250567711931	0.9953301814212532	1.02877317431701
chr1-152745969-152746133_UPPE_MUT-allCrxSites	1.66133061181188	1.507273349771382	1.4724929200873278
chr1-152745969-152746133_UPPE_WT	2.678049940433041	3.0109245669080913	2.8790249892905764
chr1-155111753-155111917_CPPE_MUT-allCrxSites	0.18087412527040583	0.21734530477274894	0.22071909794526037
chr1-155111753-155111917_CPPE_WT	0.0	0.0	0.0
chr1-155249959-155250123_UPCE_MUT-allCrxSites	0.9844683675253395	0.8796144612633201	0.967897357929376
chr1-155249959-155250123_UPCE_WT	2.5093523588437705	2.4057871573168392	2.809882113246433
chr1-156179894-156180058_UPCE_MUT-allCrxSites	0.13938183676729302	0.2908889011866142	0.5674887425726493
chr1-156179894-156180058_UPCE_WT	0.47946794740613097	0.3170750866147449	0.459319571861121
chr1-157306846-157307010_UPRE_MUT-allCrxSites	0.3227360540563606	0.4676314284200512	0.32172596413568044
chr1-157306846-157307010_UPRE_WT	2.0014344924376606	1.937270801766384	2.0126386386632955
chr1-157380933-157381097_CPPE_MUT-allCrxSites	1.1581578893167996	1.2037047759979613	1.1610129003363496
chr1-157380933-157381097_CPPE_WT	5.401773198095275	4.45306800056065	4.897626946284896
chr1-158355777-158355941_UPCP_MUT-allCrxSites	0.5373105034952587	0.27874452086783524	0.2675916790182744
chr1-158355777-158355941_UPCP_WT	0.31827075546260525	0.33240287516375855	0.21994384875376494
chr1-158546627-158546791_CPCN_MUT-allCrxSites	1.2562564611040146	1.1310387406690732	1.3085080348563445
chr1-158546627-158546791_CPCN_WT	0.2015370597506204	0.2588039629398167	0.27900589750522936
chr1-16053660-16053824_CPPN_MUT-allCrxSites	0.14123781887265963	0.08902617775864081	0.26251724389859027
chr1-16053660-16053824_CPPN_WT	0.0	0.0	0.0
chr1-16053660-16053824_CPPN_scrambled	0.1536415994414483	0.14512317810243605	0.18979095285176315
chr1-160741382-160741546_UPPN_MUT-allCrxSites	0.47204752234691544	0.2673532049876177	0.28711255245911405
chr1-160741382-160741546_UPPN_WT	0.0802988724268373	0.05058077819602504	0.07095277046032594
chr1-163779410-163779574_CPPN_MUT-allCrxSites	1.4704701194750793	1.3714330862031272	1.522219906347267
chr1-163779410-163779574_CPPN_WT	0.9116197273907112	1.1221831190980753	1.1423847733202195
chr1-163929687-163929851_CSPP_scrambled	0.059820161255763414	0.08334223071410053	0.13774902911560433
chr1-166003311-166003475_CPPP_MUT-allCrxSites	2.6561809732053465	1.2066958265451546	1.548030907760458
chr1-166003311-166003475_CPPP_WT	0.9782668568880658	1.103598720340073	1.807971835912869
chr1-167385671-167385835_UPCN_MUT-allCrxSites	0.272226112136655	0.296211356980045	0.36330509640239583
chr1-167385671-167385835_UPCN_WT	0.30506968039195265	0.36257096852545906	0.37940046346829703
chr1-168284956-168285120_UPCE_MUT-allCrxSites	0.6293438021545167	0.8843472364111532	0.7883695824158362
chr1-168284956-168285120_UPCE_WT	0.7174007916643069	0.7558752400614388	0.8619860942716603
chr1-170867720-170867884_CPPP_MUT-allCrxSites	0.4700670511378649	0.6552788901444379	0.3360470764425765
chr1-170867720-170867884_CPPP_WT	0.30313218272617215	0.3583250065799945	0.32852008615380385
chr1-171247161-171247325_CSPP_scrambled	0.03643096476098467	0.04706627869514573	0.07294414798441799
chr1-171502725-171502889_UPRE_MUT-allCrxSites	0.8284930457381829	0.6726376417133967	0.7617090965286563
chr1-171502725-171502889_UPRE_WT	0.7952854446908351	0.894477683377629	1.033511773257074
chr1-172126243-172126407_UPPP_MUT-allCrxSites	0.7524561049178732	0.3951411843728227	0.5561635904218477
chr1-172126243-172126407_UPPP_WT	0.7054478861847553	0.42507332838430506	0.3984329903281165
chr1-172202745-172202909_CPPP_MUT-allCrxSites	1.5840543458034555	1.8677980585095115	1.7208761562396446
chr1-172202745-172202909_CPPP_WT	1.8812627965241233	1.8174155670669894	1.9329770204698395
chr1-177003036-177003200_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-177003036-177003200_CPPE_WT	0.4334075139253817	0.2893706356729736	0.45527120054326137
chr1-177299685-177299849_CPPE_MUT-allCrxSites	0.4622016005495589	0.2569532907271512	0.1781469781152704
chr1-177299685-177299849_CPPE_WT	0.11748742754028317	0.08742769783688296	0.15709451819211237
chr1-177983157-177983321_CSPP_MUT-shape	0.5588197479731379	0.3567576774224	0.554872670611461
chr1-177983157-177983321_CSPP_WT	0.5257494971274279	0.4282775841552664	0.6672918128820404
chr1-179586526-179586690_UPPE_MUT-allCrxSites	1.4144061242219264	1.2477635639366138	1.2105003539190262
chr1-179586526-179586690_UPPE_WT	1.1920099304207754	3.155338896719871	1.360023284030672
chr1-180793222-180793386_CPPE_MUT-allCrxSites	3.134659094115106	2.858624169395838	3.0251729857289735
chr1-180793222-180793386_CPPE_WT	6.180364746468475	6.976169006708672	7.375944877504556
chr1-180851031-180851195_CSPP_MUT-shape	0.0067217860441475515	0.012300241124259648	0.0056921570797669845
chr1-180851031-180851195_CSPP_WT	0.10195595243619486	0.1818562418962623	0.07120720859474954
chr1-180863711-180863875_CPPE_MUT-allCrxSites	2.337311532430044	2.047482408843709	2.1648221555263056
chr1-180863711-180863875_CPPE_WT	1.8044220717862334	1.8233497330023483	1.9175335919359713
chr1-182792901-182793065_UPCN_MUT-allCrxSites	0.2905393823401057	0.2717645932814625	0.22854932599705746
chr1-182792901-182793065_UPCN_WT	0.2634128602202739	0.31758484899109	0.24597621101853875
chr1-183296635-183296799_UPPP_MUT-allCrxSites	0.5031714692203264	0.7084980781982788	0.6769167027892459
chr1-183296635-183296799_UPPP_WT	0.7346465364861863	0.5048210286317621	0.7781141777923333
