label	total_occupancy	diversity	entropy
chr1-4357766-4357930_CPPP_WT	3.5161143089678024	2.0	2.2918613739358404
chr1-4357766-4357930_CPPP_MUT-allCrxSites	1.6794452478561683	1.0	0.4404931622612164
chr1-73826292-73826456_CPPE_WT	3.2961168020227847	2.0	1.743370060592633
chr1-73826292-73826456_CPPE_MUT-allCrxSites	1.2924039142574977	1.0	0.3789216457261865
chr11-87108697-87108861_CPPP_WT	3.5526889292182497	2.0	1.8679683381855126
chr11-87108697-87108861_CPPP_MUT-allCrxSites	2.576784151369581	2.0	1.4927667365978314
chr11-87577889-87578053_CPPP_WT	5.35173925257288	2.0	2.1209273342484263
chr11-87577889-87578053_CPPP_MUT-allCrxSites	2.399686292259549	2.0	1.1951832194143381
chr11-88187269-88187433_CPPP_WT	6.275950722821197	3.0	6.484319888437262
chr11-88187269-88187433_CPPP_MUT-allCrxSites	3.974670447626054	3.0	3.7086225815166416
chr11-88664575-88664739_CPPE_WT	3.8121979725320614	2.0	2.3986140667686415
chr11-88664575-88664739_CPPE_MUT-allCrxSites	1.7844910334223059	2.0	1.1786489716333792
chr11-89056083-89056247_CPPE_WT	4.2721496159682	1.0	1.5682700705199568
chr11-89056083-89056247_CPPE_MUT-allCrxSites	0.6762631065900643	1.0	0.08198584738011488
chr11-89066814-89066978_CPRE_WT	5.334916805367684	1.0	1.4149587658308045
chr11-89066814-89066978_CPRE_MUT-allCrxSites	1.0930663368863274	1.0	0.009831996237034893
chr11-90417904-90418068_CPPE_WT	1.655065574331612	1.0	0.4015500028952012
chr11-90417904-90418068_CPPE_MUT-allCrxSites	0.7043185633210398	0.0	0.18323141825420872
chr11-94327831-94327995_CPPP_WT	4.310883642316986	4.0	5.169415368419116
chr11-94327831-94327995_CPPP_MUT-allCrxSites	3.094289385683323	3.0	2.8647279338438114
chr11-95126822-95126986_CPPN_WT	2.6986475205392884	1.0	1.118560995658525
chr11-95126822-95126986_CPPN_MUT-allCrxSites	0.7319822759902518	0.0	0.21734711712895147
chr11-95384451-95384615_CPPE_WT	2.223267027876222	2.0	1.232681974804412
chr11-95384451-95384615_CPPE_MUT-allCrxSites	1.2479342004911795	1.0	0.33929140759928506
chr11-96075738-96075902_CPPP_WT	1.188485328382613	1.0	0.14108759771791687
chr11-96075738-96075902_CPPP_MUT-allCrxSites	0.31256014699304774	0.0	0.04187776920931621
chr11-96789017-96789181_CPPP_WT	1.5205547948191862	1.0	0.014945068827323224
chr11-96789017-96789181_CPPP_MUT-allCrxSites	0.528725479168697	1.0	0.007330866226975349
chr1-74848757-74848921_CPPP_WT	5.081795522392234	2.0	2.4570802403894336
chr1-74848757-74848921_CPPP_MUT-allCrxSites	1.078365467219092	1.0	0.3396322273864953
chr11-97279655-97279819_CPPP_WT	4.186862771087883	2.0	2.544119762266104
chr11-97279655-97279819_CPPP_MUT-allCrxSites	1.9894471269501228	1.0	0.22828651841997694
chr11-97660835-97660999_CPPP_WT	2.277889505925775	1.0	0.004903774883098637
chr11-97660835-97660999_CPPP_MUT-allCrxSites	0.28151319064203556	0.0	0.0008083923159400441
chr11-98149013-98149177_CPPP_WT	3.098209739613635	2.0	1.7191186169780441
chr11-98149013-98149177_CPPP_MUT-allCrxSites	1.0206957996735924	1.0	0.030091976270159568
chr11-98399578-98399742_CPPP_WT	1.2520085008469675	1.0	0.24002449481963775
chr11-98399578-98399742_CPPP_MUT-allCrxSites	0.2547998426935252	0.0	0.03110509789139459
chr11-99396196-99396360_CPPE_WT	3.3943709127143618	2.0	1.7595947300015502
chr11-99396196-99396360_CPPE_MUT-allCrxSites	1.398135014270351	1.0	0.5065168351360969
chr11-101663432-101663596_CPRE_WT	2.562917489382596	2.0	1.5014909229557611
