label	expression	expression_SEM
chr1-10229074-10229238_CPPE_MUT-allCrxSites	1.0657903570860479	0.33442232805722966
chr1-10229074-10229238_CPPE_WT	0.0	0.0
chr1-106171416-106171580_CSPE_MUT-shape	0.0	0.0
chr1-106171416-106171580_CSPE_WT	0.0	0.0
chr1-106171416-106171580_CSPE_scrambled	0.0	0.0
chr1-106796701-106796865_CSPP_MUT-shape	0.0	0.0
chr1-106796701-106796865_CSPP_WT	0.0	0.0
chr1-111864309-111864473_UPCQ_MUT-allCrxSites	0.0	0.0
chr1-111864309-111864473_UPCQ_WT	0.0	0.0
chr1-118482597-118482761_CPPP_MUT-allCrxSites	0.0	0.0
chr1-118482597-118482761_CPPP_WT	0.3344626298417601	0.09871662679957556
chr1-125370539-125370703_UPCE_MUT-allCrxSites	0.0	0.0
chr1-125370539-125370703_UPCE_WT	0.0	0.0
chr1-127958901-127959065_UPPE_MUT-allCrxSites	0.0	0.0
chr1-127958901-127959065_UPPE_WT	0.0	0.0
chr1-128102684-128102848_CSPP_scrambled	0.0	0.0
chr1-130701979-130702143_CPPE_MUT-allCrxSites	0.08969717467461681	0.039007106430000014
chr1-130701979-130702143_CPPE_WT	0.0	0.0
chr1-131031572-131031736_CPPN_MUT-allCrxSites	0.0	0.0
chr1-131031572-131031736_CPPN_WT	2.800330388103129	1.081546322758246
chr1-131078792-131078956_CPPE_scrambled	0.0	0.0
chr1-131527497-131527661_CPPP_MUT-allCrxSites	0.0	0.0
chr1-131527497-131527661_CPPP_WT	0.0	0.0
chr1-132007617-132007781_UPPP_MUT-allCrxSites	0.0	0.0
chr1-132007617-132007781_UPPP_WT	0.0	0.0
chr1-13203955-13204119_CPPE_MUT-allCrxSites	0.0	0.0
chr1-13203955-13204119_CPPE_WT	0.0	0.0
chr1-132090388-132090552_CPPN_MUT-allCrxSites	0.0	0.0
chr1-132090388-132090552_CPPN_WT	0.0	0.0
chr1-132099958-132100122_UPCN_MUT-allCrxSites	0.0	0.0
chr1-132099958-132100122_UPCN_WT	0.26281969499939034	0.0924870427902439
chr1-132736171-132736335_UPCE_MUT-allCrxSites	0.0	0.0
chr1-132736171-132736335_UPCE_WT	0.0	0.0
chr1-133661350-133661514_CSPP_MUT-shape	32.62640883244848	1.5568601622975522
chr1-133661350-133661514_CSPP_WT	19.81060997495003	0.07988987188700543
chr1-133661350-133661514_CSPP_scrambled	0.0	0.0
chr1-134491438-134491602_CPNE_scrambled	0.0	0.0
chr1-134560092-134560256_CSPP_MUT-shape	0.0	0.0
chr1-134560092-134560256_CSPP_WT	0.0	0.0
chr1-134778125-134778289_CPPE_MUT-allCrxSites	0.0	0.0
chr1-134778125-134778289_CPPE_WT	2.9298621766836717	1.1471523507280934
chr1-134860599-134860763_CPPE_MUT-allCrxSites	0.0	0.0
chr1-134860599-134860763_CPPE_WT	0.0	0.0
chr1-135615829-135615993_CPPE_MUT-allCrxSites	0.0	0.0
chr1-135615829-135615993_CPPE_WT	3.720819685697762	0.6496656450503009
chr1-136007215-136007379_CPPP_MUT-allCrxSites	0.0	0.0
chr1-136007215-136007379_CPPP_WT	0.22569096783355483	0.07904714505944813
chr1-136134352-136134516_CPNP_MUT-allCrxSites	0.0	0.0
chr1-136134352-136134516_CPNP_WT	0.0	0.0
chr1-136463546-136463710_UPRE_MUT-allCrxSites	0.0	0.0
chr1-136463546-136463710_UPRE_WT	0.0	0.0
chr1-136563214-136563378_CPPE_MUT-allCrxSites	0.12181145253080644	0.055954162056405965
chr1-136563214-136563378_CPPE_WT	0.0	0.0
chr1-137926833-137926997_CPPE_MUT-allCrxSites	0.0	0.0
