label	expression	expression_SEM	expression_log2	autonomous_activity
chr1-104768570-104768734_UPCQ_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-104768570-104768734_UPCQ_WT	0.0	0.0	-6.643856189774724	False
chr1-106008207-106008371_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-106008207-106008371_CPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-106171416-106171580_CSPE_scrambled	0.0	0.0	-6.643856189774724	False
chr1-106696554-106696718_CPPE_MUT-allCrxSites	0.06129226984739514	0.0241177602338988	-3.810110534668262	False
chr1-106696554-106696718_CPPE_WT	0.7956210503025015	0.05857412971628481	-0.31182671445941945	False
chr1-118321635-118321799_CPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-118321635-118321799_CPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-118589610-118589774_UPCE_MUT-allCrxSites	0.08460555980221329	0.017791305788607315	-3.40193121907069	False
chr1-118589610-118589774_UPCE_WT	0.30888838291664844	0.1388711613661718	-1.6488765536277572	False
chr1-119646428-119646592_CPPE_MUT-allCrxSites	0.37737835796840813	0.08227561399652847	-1.3681847390974975	False
chr1-119646428-119646592_CPPE_WT	1.181991459704127	0.1968333617834276	0.25337389931799226	True
chr1-119837093-119837257_UPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-119837093-119837257_UPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-119904943-119905107_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-119904943-119905107_CPPE_WT	0.3064771337837278	0.05089944799859172	-1.659826829573577	False
chr1-126766376-126766540_UPRE_MUT-allCrxSites	0.15658362415726848	0.052490769447908175	-2.5856815099599797	False
chr1-126766376-126766540_UPRE_WT	0.0896490798434064	0.027214944538042282	-3.3269997064513195	False
chr1-128102684-128102848_CSPP_MUT-shape	0.0	0.0	-6.643856189774724	False
chr1-128102684-128102848_CSPP_WT	0.5334271753668663	0.19926551181412092	-0.8798413821307367	False
chr1-128102684-128102848_CSPP_scrambled	0.0	0.0	-6.643856189774724	False
chr1-131078792-131078956_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-131078792-131078956_CPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-131078792-131078956_CPPE_scrambled	0.0	0.0	-6.643856189774724	False
chr1-131910343-131910507_CSPP_MUT-shape	0.0	0.0	-6.643856189774724	False
chr1-131910343-131910507_CSPP_WT	0.0	0.0	-6.643856189774724	False
chr1-132064989-132065153_UPPN_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-132064989-132065153_UPPN_WT	0.0	0.0	-6.643856189774724	False
chr1-132303608-132303772_UPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-132303608-132303772_UPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-132367013-132367177_CPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-132367013-132367177_CPPP_WT	7.387022147979607	0.8831422384622544	2.8869445954736372	True
chr1-132414110-132414274_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-132414110-132414274_CPPE_WT	0.13209043492483227	0.005792094264373178	-2.815118654669572	False
chr1-133042650-133042814_CPRN_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-133042650-133042814_CPRN_WT	0.0	0.0	-6.643856189774724	False
chr1-133661350-133661514_CSPP_scrambled	0.0	0.0	-6.643856189774724	False
chr1-133893675-133893839_UPCE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-133893675-133893839_UPCE_WT	0.0	0.0	-6.643856189774724	False
chr1-134086973-134087137_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-134086973-134087137_CPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-134272950-134273114_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-134272950-134273114_CPPE_WT	0.09437946341942104	0.021719858435181386	-3.2600902042191486	False
chr1-134420610-134420774_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-134420610-134420774_CPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-134491438-134491602_CPNE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-134491438-134491602_CPNE_WT	0.0	0.0	-6.643856189774724	False
chr1-134491438-134491602_CPNE_scrambled	0.0	0.0	-6.643856189774724	False
chr1-135375289-135375453_UPPP_MUT-allCrxSites	0.0871354815055478	0.025407792142169414	-3.363857812339951	False
chr1-135375289-135375453_UPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-135627907-135628071_CPPN_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-135627907-135628071_CPPN_WT	0.0	0.0	-6.643856189774724	False
chr1-135793436-135793600_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-135793436-135793600_CPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-136007979-136008143_CPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-136007979-136008143_CPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-136140231-136140395_CSPP_MUT-shape	0.0	0.0	-6.643856189774724	False
chr1-136140231-136140395_CSPP_WT	0.0	0.0	-6.643856189774724	False
chr1-137926402-137926566_CPPE_MUT-allCrxSites	0.08054481598471784	0.026359134817566653	-3.465224145697391	False
chr1-137926402-137926566_CPPE_WT	0.2293798900591645	0.06824307403107396	-2.062626136133643	False
chr1-150312783-150312947_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-150312783-150312947_CPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-150322339-150322503_CPPP_MUT-allCrxSites	0.12005745506485613	0.05323068969498899	-2.942778996053708	False
chr1-150322339-150322503_CPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-150329669-150329833_CPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-150329669-150329833_CPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-150393010-150393174_CBPP_MUT-shape	0.0	0.0	-6.643856189774724	False
chr1-150393010-150393174_CBPP_WT	0.0	0.0	-6.643856189774724	False
chr1-150393010-150393174_CBPP_scrambled	0.0	0.0	-6.643856189774724	False
chr1-151344227-151344391_UPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-151344227-151344391_UPPP_WT	0.2658322185333901	0.048451029026466835	-1.8581371144545835	False
chr1-152745969-152746133_UPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-152745969-152746133_UPPE_WT	0.10775270683567184	0.012647504367770237	-3.0861678707731652	False
chr1-155111753-155111917_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-155111753-155111917_CPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-155249959-155250123_UPCE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-155249959-155250123_UPCE_WT	1.563917316352648	0.1991249731579554	0.6543597527759955	True
chr1-156179894-156180058_UPCE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-156179894-156180058_UPCE_WT	0.0	0.0	-6.643856189774724	False
chr1-157306846-157307010_UPRE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-157306846-157307010_UPRE_WT	5.485143147698412	0.4722855893173976	2.4581570636648977	True
chr1-157380933-157381097_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-157380933-157381097_CPPE_WT	5.09893602766952	0.07884211973180165	2.353022870922234	True
chr1-158355777-158355941_UPCP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-158355777-158355941_UPCP_WT	0.0	0.0	-6.643856189774724	False
chr1-158546627-158546791_CPCN_MUT-allCrxSites	0.06179115043880646	0.00871388211836949	-3.8000501730928495	False
chr1-158546627-158546791_CPCN_WT	0.10361769300838036	0.029523456497360587	-3.137740580221974	False
chr1-16053660-16053824_CPPN_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-16053660-16053824_CPPN_WT	0.0	0.0	-6.643856189774724	False
chr1-16053660-16053824_CPPN_scrambled	0.0	0.0	-6.643856189774724	False
chr1-160741382-160741546_UPPN_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-160741382-160741546_UPPN_WT	0.0	0.0	-6.643856189774724	False
chr1-163779410-163779574_CPPN_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-163779410-163779574_CPPN_WT	0.10021996905676203	0.03853370376165858	-3.1815424676275526	False
chr1-163929687-163929851_CSPP_scrambled	0.0	0.0	-6.643856189774724	False
chr1-166003311-166003475_CPPP_MUT-allCrxSites	NaN	NaN	NaN	False
chr1-166003311-166003475_CPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-167385671-167385835_UPCN_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-167385671-167385835_UPCN_WT	0.10035938511499742	0.029860681053386812	-3.1797187712678014	False
chr1-168284956-168285120_UPCE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-168284956-168285120_UPCE_WT	0.18591648744327866	0.06944950770569255	-2.3516892814995694	False
chr1-170867720-170867884_CPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-170867720-170867884_CPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-171247161-171247325_CSPP_scrambled	0.0	0.0	-6.643856189774724	False
chr1-171502725-171502889_UPRE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-171502725-171502889_UPRE_WT	0.0	0.0	-6.643856189774724	False
chr1-172126243-172126407_UPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-172126243-172126407_UPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-172202745-172202909_CPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-172202745-172202909_CPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-177003036-177003200_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-177003036-177003200_CPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-177299685-177299849_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-177299685-177299849_CPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-177983157-177983321_CSPP_MUT-shape	0.0	0.0	-6.643856189774724	False
chr1-177983157-177983321_CSPP_WT	0.0	0.0	-6.643856189774724	False
chr1-179586526-179586690_UPPE_MUT-allCrxSites	0.21454031141620603	0.12852278244035842	-2.154953621593508	False
chr1-179586526-179586690_UPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-180793222-180793386_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-180793222-180793386_CPPE_WT	20.403907873233344	5.468877321443737	4.351480481553227	True
chr1-180851031-180851195_CSPP_MUT-shape	0.0	0.0	-6.643856189774724	False
chr1-180851031-180851195_CSPP_WT	0.2381825009294707	0.037247207003638205	-2.010526698646648	False
chr1-180863711-180863875_CPPE_MUT-allCrxSites	0.08265828542611009	0.030532275859354217	-3.4319362031744687	False
chr1-180863711-180863875_CPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-182792901-182793065_UPCN_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-182792901-182793065_UPCN_WT	0.070200295587735	0.013803201657456035	-3.640248635860445	False
chr1-183296635-183296799_UPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-183296635-183296799_UPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-187215293-187215457_UPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-187215293-187215457_UPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-188018140-188018304_UPCN_MUT-allCrxSites	0.2918744069689614	0.17864017088528156	-1.7279796451046787	False
chr1-188018140-188018304_UPCN_WT	0.0	0.0	-6.643856189774724	False
chr1-188262342-188262506_CPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-188262342-188262506_CPPP_WT	32.86512887697881	2.611342973838021	5.038924644952036	True
chr1-188412539-188412703_UPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-188412539-188412703_UPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-189719413-189719577_CPPN_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-189719413-189719577_CPPN_WT	0.14882406356645808	0.0044365800946394975	-2.6544985819158877	False
chr1-190452553-190452717_CBPE_MUT-shape	0.0	0.0	-6.643856189774724	False
chr1-190452553-190452717_CBPE_WT	3.2572070502829478	1.0732602089684142	1.7080578845131191	True
chr1-191075649-191075813_UPRE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-191075649-191075813_UPRE_WT	0.0	0.0	-6.643856189774724	False
chr1-191397371-191397535_CSPP_MUT-shape	0.0	0.0	-6.643856189774724	False
chr1-191397371-191397535_CSPP_WT	0.0	0.0	-6.643856189774724	False
chr1-191817830-191817994_UPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-191817830-191817994_UPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-191821242-191821406_CPPP_scrambled	0.0	0.0	-6.643856189774724	False
chr1-191884957-191885121_UPRE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-191884957-191885121_UPRE_WT	0.0	0.0	-6.643856189774724	False
chr1-191981690-191981854_CPPP_scrambled	0.0	0.0	-6.643856189774724	False
chr1-194619462-194619626_CPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-194619462-194619626_CPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-194619741-194619905_CSPP_MUT-shape	0.0	0.0	-6.643856189774724	False
chr1-194619741-194619905_CSPP_WT	0.0	0.0	-6.643856189774724	False
chr1-195040593-195040757_CPPN_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-195040593-195040757_CPPN_WT	0.0	0.0	-6.643856189774724	False
chr1-21218235-21218399_UPCQ_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-21218235-21218399_UPCQ_WT	0.0	0.0	-6.643856189774724	False
chr1-34706456-34706620_CPPN_MUT-allCrxSites	0.1502295493620744	0.10665518225439996	-2.64178786232845	False
chr1-34706456-34706620_CPPN_WT	0.4870702522694602	0.3140833613010053	-1.0084783287372117	False
chr1-34859824-34859988_CPCE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-34859824-34859988_CPCE_WT	0.0	0.0	-6.643856189774724	False
chr1-36547306-36547470_CSPE_MUT-shape	0.0	0.0	-6.643856189774724	False
chr1-36547306-36547470_CSPE_WT	0.0	0.0	-6.643856189774724	False
chr1-39417769-39417933_UPCE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-39417769-39417933_UPCE_WT	0.0	0.0	-6.643856189774724	False
chr1-39446293-39446457_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-39446293-39446457_CPPE_WT	0.9147636695586542	0.29588759722688274	-0.11284337392714174	False
chr1-39446293-39446457_CPPE_scrambled	0.0	0.0	-6.643856189774724	False
chr1-39963923-39964087_UPPE_MUT-allCrxSites	0.134648672921286	0.06697032465588472	-2.789375007559443	False
chr1-39963923-39964087_UPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-4357766-4357930_CPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-4357766-4357930_CPPP_WT	52.66637000831341	3.861955295316252	5.719084026065625	True
chr1-44584098-44584262_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-44584098-44584262_CPPE_WT	0.0	0.0	-6.643856189774724	False
chr1-45795401-45795565_CPPP_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-45795401-45795565_CPPP_WT	0.0	0.0	-6.643856189774724	False
chr1-52252645-52252809_UPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-52252645-52252809_UPPE_WT	1.5989911244626651	0.2027674880853979	0.6861563678705482	True
chr1-52330633-52330797_CPPE_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-52330633-52330797_CPPE_WT	7.239597042465235	0.6778200535481897	2.857900807404349	True
chr1-52435883-52436047_CPPN_MUT-allCrxSites	0.14321369251525234	0.040955490192601945	-2.706382860019238	False
chr1-52435883-52436047_CPPN_WT	0.0	0.0	-6.643856189774724	False
chr1-52844865-52845029_CSPP_MUT-shape	0.0	0.0	-6.643856189774724	False
chr1-52844865-52845029_CSPP_WT	0.2870461220099587	0.09914117408212378	-1.7512411408681172	False
chr1-56973434-56973598_CPCQ_MUT-allCrxSites	0.0	0.0	-6.643856189774724	False
chr1-56973434-56973598_CPCQ_WT	0.0	0.0	-6.643856189774724	False
chr1-58392333-58392497_UPCP_MUT-allCrxSites	NaN	NaN	NaN	False
