LOCUS	CLASS	MEAN	SEM	CI_95	DF	NUM_BC	CHIP_READS	CRX_MOTIFN	CRX_MOTIF_SUM	GC_FRAC	ORCHID_SUM	PHOTOR_GENE	OCCUPANCY_6	OCCUPANCY_9	AAAA	CCCGGGGC_FREQ	NRL_MOTIFN	NRL_MOTIF_SCORE
chr1_100559799_SCRUBR	SCRUBR	0.454872966	0.073189033	0.179086976	6	2	NA	0	0	0.448979592	31.38920833	NA	0.037393128	0.558754263	0	0.180722892	0	0
chr1_100559799_UBR	UBR	0.195736561	0.033050722	0.072011243	12	3	NA	1	10.04892552	0.448979592	31.22470833	NA	0.891708485	1.358000848	0	0.180722892	0	0
chr1_100750469_UBR	UBR	0.531169541	0.106459871	0.231955831	12	3	NA	2	21.17641435	0.346938776	18.89508333	NA	1.864875121	2.735259379	0	0.120481928	0	0
chr1_108920169_UBR	UBR	0.466723292	0.077827726	0.169571827	12	3	NA	2	22.19151315	0.326530612	18.08158333	NA	1.949453712	2.167276148	0	0.096385542	2	24.09350072
chr1_11177089_SCRUBR	SCRUBR	0.128800269	0.03206148	0.082416599	5	1	NA	1	15.76968089	0.295918367	18.50645833	NA	2.262812965	3.734993147	0	0.084337349	0	0
chr1_11177089_UBR	UBR	0.00078743	0.000558216	0.001365904	6	2	NA	2	28.60321737	0.295918367	17.88520833	NA	2.557799242	4.688762105	0	0.084337349	0	0
chr1_111967829_UBR	UBR	0.443447795	0.042859141	0.093381924	12	3	NA	1	10.04892552	0.295918367	12.34808333	NA	1.196885946	2.29633727	2	0.096385542	0	0
chr1_117517029_SCRUBR	SCRUBR	0.591804291	0.025186416	0.054876415	12	3	NA	1	9.981741859	0.448979592	29.47995833	NA	0.795549741	1.39798186	0	0.228915663	0	0
chr1_117517029_UBR	UBR	0.599950847	0.048588547	0.105865213	12	3	NA	1	11.14040568	0.448979592	28.95383333	NA	1.087647502	2.024879625	1	0.21686747	0	0
chr1_120285891_CBRM	CBRM	1.901092053	0.124435304	0.271120884	12	3	50	1	10.97446653	0.581632653	39.93970833	1	0.99622714	1.512379244	0	0.337349398	0	0
chr1_120285891_CBRMUT	CBRMUT	2.091208254	0.192793277	0.420059919	12	3	NA	0	0	0.591836735	41.18583333	NA	0.046932224	0.514363976	0	0.337349398	0	0
chr1_120285891_SCRCBRM	SCRCBRM	0.979829829	0.060306995	0.131397483	12	3	NA	0	0	0.581632653	39.10620833	NA	0.01191834	0.213954135	0	0.337349398	1	12.90920076
chr1_121262209_UBR	UBR	0.213573014	0.012270397	0.026734863	12	3	NA	2	22.22838989	0.479591837	34.16033333	NA	2.149432875	2.983949577	0	0.21686747	0	0
chr1_123582519_UBR	UBR	0.303977133	0.03739706	0.081481089	12	3	NA	1	10.34472878	0.336734694	16.35145833	NA	1.074018424	2.430790021	0	0.096385542	0	0
chr1_125492849_UBR	UBR	0.480103038	0.070672058	0.153980987	12	3	NA	2	20.97364506	0.357142857	22.35595833	NA	1.826228227	2.698835908	2	0.108433735	0	0
chr1_126525599_SCRUBR	SCRUBR	0.564163662	0.050173349	0.109318194	12	3	NA	0	0	0.346938776	20.81595833	NA	0.50258966	1.751627481	0	0.120481928	0	0
chr1_126525599_UBR	UBR	0.827877977	0.031339827	0.068283528	12	3	NA	1	10.77169723	0.346938776	20.72808333	NA	1.022844754	1.696321558	0	0.120481928	0	0
chr1_126997326_CBRM	CBRM	0.832633127	0.05858948	0.127655345	12	3	178	2	22.28176735	0.459183673	32.89645833	0	1.9221783	3.220826073	0	0.192771084	2	20.68945756
chr1_126997326_CBRMUT	CBRMUT	0.999365807	0.058491267	0.127441357	12	3	NA	0	0	0.479591837	34.55233333	NA	0.111668235	1.222241041	0	0.204819277	2	20.68945756
chr1_126997326_SCRCBRM	SCRCBRM	0.251218482	0.024480193	0.05333769	12	3	NA	0	0	0.459183673	32.86595833	NA	0.465013754	2.283550121	0	0.192771084	4	47.87323776
