label	RNA1	RNA2	RNA3
chr1-10229074-10229238_CPPE_MUT-allCrxSites	1.4868238505079583	0.4052036396234789	1.3053435811267067
chr1-10229074-10229238_CPPE_WT	0.0	0.0	0.0
chr1-106171416-106171580_CSPE_MUT-shape	0.0	0.0	0.0
chr1-106171416-106171580_CSPE_WT	0.0	0.0	0.0
chr1-106171416-106171580_CSPE_scrambled	0.0	0.0	0.0
chr1-106796701-106796865_CSPP_MUT-shape	0.0	0.0	0.0
chr1-106796701-106796865_CSPP_WT	0.0	0.0	0.0
chr1-111864309-111864473_UPCQ_MUT-allCrxSites	0.0	0.0	0.0
chr1-111864309-111864473_UPCQ_WT	0.0	0.0	0.0
chr1-118482597-118482761_CPPP_MUT-allCrxSites	0.0	0.0	0.0
chr1-118482597-118482761_CPPP_WT	0.46832454891486214	0.3932124452336354	0.14185089537678283
chr1-125370539-125370703_UPCE_MUT-allCrxSites	0.0	0.0	0.0
chr1-125370539-125370703_UPCE_WT	0.0	0.0	0.0
chr1-127958901-127959065_UPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-127958901-127959065_UPPE_WT	0.0	0.0	0.0
chr1-128102684-128102848_CSPP_scrambled	0.0	0.0	0.0
chr1-130701979-130702143_CPPE_MUT-allCrxSites	0.04302301333300185	0.16717116561389747	0.05889734507695115
chr1-130701979-130702143_CPPE_WT	0.0	0.0	0.0
chr1-131031572-131031736_CPPN_MUT-allCrxSites	0.0	0.0	0.0
chr1-131031572-131031736_CPPN_WT	4.95974352934036	1.8298415308126112	1.6114061041564154
chr1-131078792-131078956_CPPE_scrambled	0.0	0.0	0.0
chr1-131527497-131527661_CPPP_MUT-allCrxSites	0.0	0.0	0.0
chr1-131527497-131527661_CPPP_WT	0.0	0.0	0.0
chr1-132007617-132007781_UPPP_MUT-allCrxSites	0.0	0.0	0.0
chr1-132007617-132007781_UPPP_WT	0.0	0.0	0.0
chr1-13203955-13204119_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-13203955-13204119_CPPE_WT	0.0	0.0	0.0
chr1-132090388-132090552_CPPN_MUT-allCrxSites	0.0	0.0	0.0
chr1-132090388-132090552_CPPN_WT	0.0	0.0	0.0
chr1-132099958-132100122_UPCN_MUT-allCrxSites	0.0	0.0	0.0
chr1-132099958-132100122_UPCN_WT	0.08553761887261718	0.30574576433929446	0.3971757017862593
chr1-132736171-132736335_UPCE_MUT-allCrxSites	0.0	0.0	0.0
chr1-132736171-132736335_UPCE_WT	0.0	0.0	0.0
chr1-133661350-133661514_CSPP_MUT-shape	30.221812348016186	35.541855493552895	32.11555865577636
chr1-133661350-133661514_CSPP_WT	19.78336774030521	19.687883850353014	19.96057833419186
chr1-133661350-133661514_CSPP_scrambled	0.0	0.0	0.0
chr1-134491438-134491602_CPNE_scrambled	0.0	0.0	0.0
chr1-134560092-134560256_CSPP_MUT-shape	0.0	0.0	0.0
chr1-134560092-134560256_CSPP_WT	0.0	0.0	0.0
chr1-134778125-134778289_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-134778125-134778289_CPPE_WT	5.220249908361385	1.900722506280114	1.6686141154095153
chr1-134860599-134860763_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-134860599-134860763_CPPE_WT	0.0	0.0	0.0
chr1-135615829-135615993_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-135615829-135615993_CPPE_WT	5.01282801312649	3.1941143588049883	2.9555166851618053
chr1-136007215-136007379_CPPP_MUT-allCrxSites	0.0	0.0	0.0
chr1-136007215-136007379_CPPP_WT	0.2538044097647121	0.34636575473913417	0.0769027389968183
chr1-136134352-136134516_CPNP_MUT-allCrxSites	0.0	0.0	0.0
chr1-136134352-136134516_CPNP_WT	0.0	0.0	0.0
chr1-136463546-136463710_UPRE_MUT-allCrxSites	0.0	0.0	0.0
chr1-136463546-136463710_UPRE_WT	0.0	0.0	0.0
chr1-136563214-136563378_CPPE_MUT-allCrxSites	0.23369809495936467	0.06396046550418236	0.06777579712887233
chr1-136563214-136563378_CPPE_WT	0.0	0.0	0.0
chr1-137926833-137926997_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-137926833-137926997_CPPE_WT	0.0	0.0	0.0
chr1-138963011-138963175_UPPP_MUT-allCrxSites	0.0	0.0	0.0
chr1-138963011-138963175_UPPP_WT	0.0	0.0	0.0
chr1-139255686-139255850_CPPP_MUT-allCrxSites	0.0	0.0	0.0
chr1-139255686-139255850_CPPP_WT	0.0	0.0	0.0
chr1-143772127-143772291_CPNE_MUT-allCrxSites	0.09666697535887585	0.015007944853284568	0.05197466264297789
chr1-143772127-143772291_CPNE_WT	0.0	0.0	0.0
chr1-150393010-150393174_CBPP_scrambled	0.0	0.0	0.0
chr1-151357538-151357702_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-151357538-151357702_CPPE_WT	0.0	0.0	0.0
chr1-153259934-153260098_UPCE_MUT-allCrxSites	0.0	0.0	0.0
chr1-153259934-153260098_UPCE_WT	0.0	0.0	0.0
chr1-155224262-155224426_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-155224262-155224426_CPPE_WT	0.0	0.0	0.0
chr1-155252906-155253070_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-155252906-155253070_CPPE_WT	0.0	0.0	0.0
chr1-155417589-155417753_UPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-155417589-155417753_UPPE_WT	NaN	NaN	NaN
chr1-155741995-155742159_UPCQ_MUT-allCrxSites	0.0	0.0	0.0
chr1-155741995-155742159_UPCQ_WT	0.0	0.0	0.0
chr1-155777723-155777887_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-155777723-155777887_CPPE_WT	0.19528847304115682	0.13564698719526094	0.3254391012679757
chr1-156645057-156645221_UPCE_MUT-allCrxSites	0.0	0.0	0.0
chr1-156645057-156645221_UPCE_WT	0.0	0.0	0.0
chr1-15805296-15805460_CPPP_MUT-allCrxSites	0.0	0.0	0.0
chr1-15805296-15805460_CPPP_WT	0.0	0.0	0.0
chr1-15838491-15838655_UPCE_MUT-allCrxSites	0.0	0.0	0.0
chr1-15838491-15838655_UPCE_WT	0.0	0.0	0.0
chr1-16053660-16053824_CPPN_scrambled	0.0	0.0	0.0
chr1-161035076-161035240_CSPP_MUT-shape	0.0	0.0	0.0
chr1-161035076-161035240_CSPP_WT	2.268252374082318	1.0215447170853595	0.09960201179733935
chr1-16108974-16109138_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-16108974-16109138_CPPE_WT	8.895695968361178	5.075612033868548	6.441062884231146
chr1-162570536-162570700_CSPP_MUT-shape	0.0	0.0	0.0
chr1-162570536-162570700_CSPP_WT	0.0	0.0	0.0
chr1-162740297-162740461_UPPP_MUT-allCrxSites	0.0	0.0	0.0
chr1-162740297-162740461_UPPP_WT	16.10388300793185	27.07041620854795	7.553813798669938
chr1-163929687-163929851_CSPP_MUT-shape	0.0	0.0	0.0
chr1-163929687-163929851_CSPP_WT	0.0	0.0	0.0
chr1-163929687-163929851_CSPP_scrambled	0.0	0.0	0.0
chr1-163957163-163957327_UPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-163957163-163957327_UPPE_WT	0.11553341258039228	0.4040185811637986	0.04801274311643026
chr1-168226283-168226447_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-168226283-168226447_CPPE_WT	2.798939345115111	1.3296035447627574	2.104040104998434
chr1-168237939-168238103_UPCE_MUT-allCrxSites	0.0	0.0	0.0
chr1-168237939-168238103_UPCE_WT	0.0	0.0	0.0
chr1-168424122-168424286_UPCN_MUT-allCrxSites	0.0	0.0	0.0
chr1-168424122-168424286_UPCN_WT	0.0	0.0	0.0
chr1-170175848-170176012_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-170175848-170176012_CPPE_WT	0.0	0.0	0.0
chr1-171232848-171233012_CPPE_MUT-allCrxSites	0.0	0.0	0.0
chr1-171232848-171233012_CPPE_WT	0.0	0.0	0.0
chr1-171247161-171247325_CSPP_MUT-shape	0.0	0.0	0.0
chr1-171247161-171247325_CSPP_WT	0.0	0.0	0.0
chr1-171247161-171247325_CSPP_scrambled	0.0	0.0	0.0
chr1-172202462-172202626_CPPP_MUT-allCrxSites	0.0	0.0	0.0
chr1-172202462-172202626_CPPP_WT	4.3897204473114195	4.708513152325151	4.640662361314837
chr1-172204534-172204698_CPPP_MUT-allCrxSites	0.0	0.0	0.0
